Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
0Hour_ATCACG_L002_R1_001	15.719999999999999	48.0	101.0	18.181818181818183	2500.0
0Hour_ATCACG_L002_R1_002	16.560000000000002	48.0	101.0	18.181818181818183	2500.0
0Hour_ATCACG_L002_R1_003	16.60000000000001	48.0	101.0	18.181818181818183	2500.0
0Hour_ATCACG_L002_R1_004	16.28	48.0	101.0	18.181818181818183	2500.0
0Hour_ATCACG_L002_R1_005	16.28	48.0	101.0	18.181818181818183	2500.0
0Hour_ATCACG_L002_R2_001	6.52000000000001	46.0	101.0	27.27272727272727	2500.0
0Hour_ATCACG_L002_R2_002	4.840000000000003	45.0	101.0	9.090909090909092	2500.0
0Hour_ATCACG_L002_R2_003	4.679999999999993	45.0	101.0	9.090909090909092	2500.0
0Hour_ATCACG_L002_R2_004	4.47999999999999	45.0	101.0	9.090909090909092	2500.0
0Hour_ATCACG_L002_R2_005	4.039999999999992	45.0	101.0	9.090909090909092	2500.0
6Hour_CGATGT_L002_R1_001	17.159999999999997	48.0	101.0	27.27272727272727	2500.0
6Hour_CGATGT_L002_R1_002	16.159999999999997	48.0	101.0	18.181818181818183	2500.0
6Hour_CGATGT_L002_R1_003	17.08	48.0	101.0	27.27272727272727	2500.0
6Hour_CGATGT_L002_R1_004	16.840000000000003	48.0	101.0	27.27272727272727	2500.0
6Hour_CGATGT_L002_R1_005	15.519999999999996	48.0	101.0	18.181818181818183	2500.0
6Hour_CGATGT_L002_R2_001	10.760000000000005	45.0	101.0	27.27272727272727	2500.0
6Hour_CGATGT_L002_R2_002	8.200000000000003	45.0	101.0	18.181818181818183	2500.0
6Hour_CGATGT_L002_R2_003	9.240000000000009	45.0	101.0	27.27272727272727	2500.0
6Hour_CGATGT_L002_R2_004	9.040000000000006	45.0	101.0	18.181818181818183	2500.0
6Hour_CGATGT_L002_R2_005	5.519999999999996	45.0	101.0	18.181818181818183	2500.0
