Module	Section	Sample Name	Source
FastQC	all_sections	0Hour_ATCACG_L002_R1_001	/home/leggles/work/quality/0Hour_ATCACG_L002_R1_001_fastqc.zip
FastQC	all_sections	6Hour_CGATGT_L002_R2_001	/home/leggles/work/quality/6Hour_CGATGT_L002_R2_001_fastqc.zip
FastQC	all_sections	6Hour_CGATGT_L002_R2_005	/home/leggles/work/quality/6Hour_CGATGT_L002_R2_005_fastqc.zip
FastQC	all_sections	0Hour_ATCACG_L002_R2_005	/home/leggles/work/quality/0Hour_ATCACG_L002_R2_005_fastqc.zip
FastQC	all_sections	6Hour_CGATGT_L002_R1_002	/home/leggles/work/quality/6Hour_CGATGT_L002_R1_002_fastqc.zip
FastQC	all_sections	0Hour_ATCACG_L002_R2_003	/home/leggles/work/quality/0Hour_ATCACG_L002_R2_003_fastqc.zip
FastQC	all_sections	6Hour_CGATGT_L002_R1_001	/home/leggles/work/quality/6Hour_CGATGT_L002_R1_001_fastqc.zip
FastQC	all_sections	6Hour_CGATGT_L002_R1_005	/home/leggles/work/quality/6Hour_CGATGT_L002_R1_005_fastqc.zip
FastQC	all_sections	0Hour_ATCACG_L002_R1_004	/home/leggles/work/quality/0Hour_ATCACG_L002_R1_004_fastqc.zip
FastQC	all_sections	6Hour_CGATGT_L002_R1_003	/home/leggles/work/quality/6Hour_CGATGT_L002_R1_003_fastqc.zip
FastQC	all_sections	6Hour_CGATGT_L002_R2_002	/home/leggles/work/quality/6Hour_CGATGT_L002_R2_002_fastqc.zip
FastQC	all_sections	6Hour_CGATGT_L002_R2_003	/home/leggles/work/quality/6Hour_CGATGT_L002_R2_003_fastqc.zip
FastQC	all_sections	0Hour_ATCACG_L002_R1_005	/home/leggles/work/quality/0Hour_ATCACG_L002_R1_005_fastqc.zip
FastQC	all_sections	0Hour_ATCACG_L002_R2_004	/home/leggles/work/quality/0Hour_ATCACG_L002_R2_004_fastqc.zip
FastQC	all_sections	6Hour_CGATGT_L002_R1_004	/home/leggles/work/quality/6Hour_CGATGT_L002_R1_004_fastqc.zip
FastQC	all_sections	0Hour_ATCACG_L002_R1_002	/home/leggles/work/quality/0Hour_ATCACG_L002_R1_002_fastqc.zip
FastQC	all_sections	0Hour_ATCACG_L002_R1_003	/home/leggles/work/quality/0Hour_ATCACG_L002_R1_003_fastqc.zip
FastQC	all_sections	0Hour_ATCACG_L002_R2_001	/home/leggles/work/quality/0Hour_ATCACG_L002_R2_001_fastqc.zip
FastQC	all_sections	0Hour_ATCACG_L002_R2_002	/home/leggles/work/quality/0Hour_ATCACG_L002_R2_002_fastqc.zip
FastQC	all_sections	6Hour_CGATGT_L002_R2_004	/home/leggles/work/quality/6Hour_CGATGT_L002_R2_004_fastqc.zip
